sample,Test_size,alpha,actual_prop,pred_prop,abs_error,quantifier
1,10,0.2,0.2,0.0,0.2,CC
1,10,0.2,0.2,0.0,0.2,ACC
1,10,0.2,0.2,0.17,0.03,PCC
1,10,0.2,0.2,0.0,0.2,PACC
1,10,0.2,0.2,0.48,0.28,X
1,10,0.2,0.2,0.31,0.11,MAX
1,10,0.2,0.2,0.12,0.08,T50
1,10,0.2,0.2,0.14,0.06,MS
1,10,0.2,0.2,0.28,0.08,HDy
1,10,0.2,0.2,0.2,0.0,DyS
1,10,0.2,0.2,0.25,0.05,SORD
2,10,0.2,0.2,0.0,0.2,CC
2,10,0.2,0.2,0.0,0.2,ACC
2,10,0.2,0.2,0.16,0.04,PCC
2,10,0.2,0.2,0.0,0.2,PACC
2,10,0.2,0.2,0.08,0.12,X
2,10,0.2,0.2,0.46,0.26,MAX
2,10,0.2,0.2,0.27,0.07,T50
2,10,0.2,0.2,0.14,0.06,MS
2,10,0.2,0.2,0.18,0.02,HDy
2,10,0.2,0.2,0.15,0.05,DyS
2,10,0.2,0.2,0.0,0.2,SORD
3,10,0.2,0.2,0.0,0.2,CC
3,10,0.2,0.2,0.0,0.2,ACC
3,10,0.2,0.2,0.23,0.03,PCC
3,10,0.2,0.2,0.0,0.2,PACC
3,10,0.2,0.2,1.0,0.8,X
3,10,0.2,0.2,1.0,0.8,MAX
3,10,0.2,0.2,1.0,0.8,T50
3,10,0.2,0.2,0.2,0.0,MS
3,10,0.2,0.2,1.0,0.8,HDy
3,10,0.2,0.2,1.0,0.8,DyS
3,10,0.2,0.2,0.71,0.51,SORD
1,10,0.5,0.5,0.1,0.4,CC
1,10,0.5,0.5,0.89,0.39,ACC
1,10,0.5,0.5,0.18,0.32,PCC
1,10,0.5,0.5,0.38,0.12,PACC
1,10,0.5,0.5,0.32,0.18,X
1,10,0.5,0.5,0.08,0.42,MAX
1,10,0.5,0.5,0.27,0.23,T50
1,10,0.5,0.5,0.14,0.36,MS
1,10,0.5,0.5,0.14,0.36,HDy
1,10,0.5,0.5,0.22,0.28,DyS
1,10,0.5,0.5,0.06,0.44,SORD
2,10,0.5,0.5,0.0,0.5,CC
2,10,0.5,0.5,0.0,0.5,ACC
2,10,0.5,0.5,0.23,0.27,PCC
2,10,0.5,0.5,0.0,0.5,PACC
2,10,0.5,0.5,1.0,0.5,X
2,10,0.5,0.5,1.0,0.5,MAX
2,10,0.5,0.5,1.0,0.5,T50
2,10,0.5,0.5,0.2,0.3,MS
2,10,0.5,0.5,1.0,0.5,HDy
2,10,0.5,0.5,1.0,0.5,DyS
2,10,0.5,0.5,0.65,0.15,SORD
3,10,0.5,0.5,0.1,0.4,CC
3,10,0.5,0.5,0.89,0.39,ACC
3,10,0.5,0.5,0.25,0.25,PCC
3,10,0.5,0.5,0.5,0.0,PACC
3,10,0.5,0.5,1.0,0.5,X
3,10,0.5,0.5,1.0,0.5,MAX
3,10,0.5,0.5,1.0,0.5,T50
3,10,0.5,0.5,0.45,0.05,MS
3,10,0.5,0.5,1.0,0.5,HDy
3,10,0.5,0.5,1.0,0.5,DyS
3,10,0.5,0.5,0.98,0.48,SORD
1,10,0.8,0.8,0.2,0.6,CC
1,10,0.8,0.8,1.0,0.2,ACC
1,10,0.8,0.8,0.29,0.51,PCC
1,10,0.8,0.8,1.0,0.2,PACC
1,10,0.8,0.8,1.0,0.2,X
1,10,0.8,0.8,1.0,0.2,MAX
1,10,0.8,0.8,1.0,0.2,T50
1,10,0.8,0.8,1.0,0.2,MS
1,10,0.8,0.8,0.89,0.09,HDy
1,10,0.8,0.8,1.0,0.2,DyS
1,10,0.8,0.8,1.0,0.2,SORD
2,10,0.8,0.8,0.2,0.6,CC
2,10,0.8,0.8,1.0,0.2,ACC
2,10,0.8,0.8,0.29,0.51,PCC
2,10,0.8,0.8,1.0,0.2,PACC
2,10,0.8,0.8,0.88,0.08,X
2,10,0.8,0.8,0.85,0.05,MAX
2,10,0.8,0.8,0.65,0.15,T50
2,10,0.8,0.8,0.95,0.15,MS
2,10,0.8,0.8,0.74,0.06,HDy
2,10,0.8,0.8,0.79,0.01,DyS
2,10,0.8,0.8,0.9,0.1,SORD
3,10,0.8,0.8,0.1,0.7,CC
3,10,0.8,0.8,0.89,0.09,ACC
3,10,0.8,0.8,0.25,0.55,PCC
3,10,0.8,0.8,0.62,0.18,PACC
3,10,0.8,0.8,0.88,0.08,X
3,10,0.8,0.8,1.0,0.2,MAX
3,10,0.8,0.8,1.0,0.2,T50
3,10,0.8,0.8,0.79,0.01,MS
3,10,0.8,0.8,0.82,0.02,HDy
3,10,0.8,0.8,0.86,0.06,DyS
3,10,0.8,0.8,0.91,0.11,SORD
1,15,0.2,0.2,0.13,0.07,CC
1,15,0.2,0.2,1.0,0.8,ACC
1,15,0.2,0.2,0.23,0.03,PCC
1,15,0.2,0.2,0.62,0.42,PACC
1,15,0.2,0.2,0.61,0.41,X
1,15,0.2,0.2,0.21,0.01,MAX
1,15,0.2,0.2,0.4,0.2,T50
1,15,0.2,0.2,0.29,0.09,MS
1,15,0.2,0.2,0.29,0.09,HDy
1,15,0.2,0.2,0.57,0.37,DyS
1,15,0.2,0.2,0.65,0.45,SORD
2,15,0.2,0.2,0.0,0.2,CC
2,15,0.2,0.2,0.0,0.2,ACC
2,15,0.2,0.2,0.15,0.05,PCC
2,15,0.2,0.2,0.0,0.2,PACC
2,15,0.2,0.2,0.08,0.12,X
2,15,0.2,0.2,0.21,0.01,MAX
2,15,0.2,0.2,0.14,0.06,T50
2,15,0.2,0.2,0.08,0.12,MS
2,15,0.2,0.2,0.04,0.16,HDy
2,15,0.2,0.2,0.06,0.14,DyS
2,15,0.2,0.2,0.0,0.2,SORD
3,15,0.2,0.2,0.07,0.13,CC
3,15,0.2,0.2,0.56,0.36,ACC
3,15,0.2,0.2,0.22,0.02,PCC
3,15,0.2,0.2,0.12,0.08,PACC
3,15,0.2,0.2,0.61,0.41,X
3,15,0.2,0.2,0.21,0.01,MAX
3,15,0.2,0.2,0.14,0.06,T50
3,15,0.2,0.2,0.2,0.0,MS
3,15,0.2,0.2,0.27,0.07,HDy
3,15,0.2,0.2,0.58,0.38,DyS
3,15,0.2,0.2,0.51,0.31,SORD
1,15,0.5,0.47,0.13,0.34,CC
1,15,0.5,0.47,1.0,0.53,ACC
1,15,0.5,0.47,0.22,0.25,PCC
1,15,0.5,0.47,1.0,0.53,PACC
1,15,0.5,0.47,0.08,0.39,X
1,15,0.5,0.47,0.05,0.42,MAX
1,15,0.5,0.47,0.14,0.33,T50
1,15,0.5,0.47,0.78,0.31,MS
1,15,0.5,0.47,0.25,0.22,HDy
1,15,0.5,0.47,0.17,0.3,DyS
1,15,0.5,0.47,0.51,0.04,SORD
2,15,0.5,0.47,0.13,0.34,CC
2,15,0.5,0.47,1.0,0.53,ACC
2,15,0.5,0.47,0.24,0.23,PCC
2,15,0.5,0.47,0.75,0.28,PACC
2,15,0.5,0.47,0.88,0.41,X
2,15,0.5,0.47,0.46,0.01,MAX
2,15,0.5,0.47,0.4,0.07,T50
2,15,0.5,0.47,0.72,0.25,MS
2,15,0.5,0.47,0.67,0.2,HDy
2,15,0.5,0.47,0.69,0.22,DyS
2,15,0.5,0.47,0.77,0.3,SORD
3,15,0.5,0.47,0.0,0.47,CC
3,15,0.5,0.47,0.0,0.47,ACC
3,15,0.5,0.47,0.16,0.31,PCC
3,15,0.5,0.47,0.0,0.47,PACC
3,15,0.5,0.47,0.19,0.28,X
3,15,0.5,0.47,0.05,0.42,MAX
3,15,0.5,0.47,0.14,0.33,T50
3,15,0.5,0.47,0.11,0.36,MS
