sample,Test_size,alpha,actual_prop,pred_prop,abs_error,quantifier
1,10,0.0,0.0,0.0,0.0,CC
1,10,0.0,0.0,1.0,1.0,ACC
1,10,0.0,0.0,0.18,0.18,PCC
1,10,0.0,0.0,0.0,0.0,PACC
1,10,0.0,0.0,0.15,0.15,X
1,10,0.0,0.0,0.41,0.41,MAX
1,10,0.0,0.0,0.25,0.25,T50
1,10,0.0,0.0,,,MS
1,10,0.0,0.0,0.42,0.42,HDy
1,10,0.0,0.0,0.0,0.0,DyS
1,10,0.0,0.0,0.04,0.04,SORD
2,10,0.0,0.0,0.1,0.1,CC
2,10,0.0,0.0,1.0,1.0,ACC
2,10,0.0,0.0,0.19,0.19,PCC
2,10,0.0,0.0,0.43,0.43,PACC
2,10,0.0,0.0,0.52,0.52,X
2,10,0.0,0.0,0.7,0.7,MAX
2,10,0.0,0.0,0.17,0.17,T50
2,10,0.0,0.0,,,MS
2,10,0.0,0.0,0.37,0.37,HDy
2,10,0.0,0.0,0.0,0.0,DyS
2,10,0.0,0.0,0.25,0.25,SORD
3,10,0.0,0.0,0.0,0.0,CC
3,10,0.0,0.0,0.0,0.0,ACC
3,10,0.0,0.0,0.14,0.14,PCC
3,10,0.0,0.0,0.0,0.0,PACC
3,10,0.0,0.0,0.59,0.59,X
3,10,0.0,0.0,0.78,0.78,MAX
3,10,0.0,0.0,0.25,0.25,T50
3,10,0.0,0.0,,,MS
3,10,0.0,0.0,0.07,0.07,HDy
3,10,0.0,0.0,0.0,0.0,DyS
3,10,0.0,0.0,0.0,0.0,SORD
1,10,0.1,0.1,0.1,0.0,CC
1,10,0.1,0.1,1.0,0.9,ACC
1,10,0.1,0.1,0.23,0.13,PCC
1,10,0.1,0.1,0.43,0.33,PACC
1,10,0.1,0.1,0.15,0.05,X
1,10,0.1,0.1,1.0,0.9,MAX
1,10,0.1,0.1,0.17,0.07,T50
1,10,0.1,0.1,,,MS
1,10,0.1,0.1,0.92,0.82,HDy
1,10,0.1,0.1,0.0,0.1,DyS
1,10,0.1,0.1,0.63,0.53,SORD
2,10,0.1,0.1,0.1,0.0,CC
2,10,0.1,0.1,1.0,0.9,ACC
2,10,0.1,0.1,0.26,0.16,PCC
2,10,0.1,0.1,0.71,0.61,PACC
2,10,0.1,0.1,0.52,0.42,X
2,10,0.1,0.1,0.33,0.23,MAX
2,10,0.1,0.1,0.17,0.07,T50
2,10,0.1,0.1,,,MS
2,10,0.1,0.1,0.82,0.72,HDy
2,10,0.1,0.1,0.0,0.1,DyS
2,10,0.1,0.1,0.91,0.81,SORD
3,10,0.1,0.1,0.1,0.0,CC
3,10,0.1,0.1,1.0,0.9,ACC
3,10,0.1,0.1,0.21,0.11,PCC
3,10,0.1,0.1,0.43,0.33,PACC
3,10,0.1,0.1,0.52,0.42,X
3,10,0.1,0.1,0.33,0.23,MAX
3,10,0.1,0.1,1.0,0.9,T50
3,10,0.1,0.1,,,MS
3,10,0.1,0.1,0.44,0.34,HDy
3,10,0.1,0.1,0.0,0.1,DyS
3,10,0.1,0.1,0.6,0.5,SORD
1,10,0.2,0.2,0.1,0.1,CC
1,10,0.2,0.2,1.0,0.8,ACC
1,10,0.2,0.2,0.23,0.03,PCC
1,10,0.2,0.2,0.57,0.37,PACC
1,10,0.2,0.2,0.15,0.05,X
1,10,0.2,0.2,0.04,0.16,MAX
1,10,0.2,0.2,0.58,0.38,T50
1,10,0.2,0.2,,,MS
1,10,0.2,0.2,0.41,0.21,HDy
1,10,0.2,0.2,0.0,0.2,DyS
1,10,0.2,0.2,0.6,0.4,SORD
2,10,0.2,0.2,0.0,0.2,CC
2,10,0.2,0.2,0.0,0.2,ACC
2,10,0.2,0.2,0.11,0.09,PCC
2,10,0.2,0.2,0.0,0.2,PACC
2,10,0.2,0.2,0.59,0.39,X
2,10,0.2,0.2,0.41,0.21,MAX
2,10,0.2,0.2,0.25,0.05,T50
2,10,0.2,0.2,,,MS
2,10,0.2,0.2,0.02,0.18,HDy
2,10,0.2,0.2,0.0,0.2,DyS
2,10,0.2,0.2,0.0,0.2,SORD
3,10,0.2,0.2,0.1,0.1,CC
3,10,0.2,0.2,1.0,0.8,ACC
3,10,0.2,0.2,0.14,0.06,PCC
3,10,0.2,0.2,0.43,0.23,PACC
3,10,0.2,0.2,0.22,0.02,X
3,10,0.2,0.2,0.41,0.21,MAX
3,10,0.2,0.2,0.17,0.03,T50
3,10,0.2,0.2,,,MS
3,10,0.2,0.2,0.05,0.15,HDy
3,10,0.2,0.2,0.0,0.2,DyS
3,10,0.2,0.2,0.0,0.2,SORD
1,10,0.3,0.3,0.0,0.3,CC
1,10,0.3,0.3,0.0,0.3,ACC
1,10,0.3,0.3,0.24,0.06,PCC
1,10,0.3,0.3,0.0,0.3,PACC
1,10,0.3,0.3,0.89,0.59,X
1,10,0.3,0.3,0.7,0.4,MAX
1,10,0.3,0.3,0.58,0.28,T50
1,10,0.3,0.3,,,MS
1,10,0.3,0.3,1.0,0.7,HDy
1,10,0.3,0.3,0.0,0.3,DyS
1,10,0.3,0.3,0.81,0.51,SORD
2,10,0.3,0.3,0.1,0.2,CC
2,10,0.3,0.3,1.0,0.7,ACC
2,10,0.3,0.3,0.2,0.1,PCC
2,10,0.3,0.3,0.57,0.27,PACC
2,10,0.3,0.3,0.15,0.15,X
2,10,0.3,0.3,0.04,0.26,MAX
2,10,0.3,0.3,0.58,0.28,T50
